CustomerID,Gender,FirstName,LastName,EmailPromotion
1,Male ,Gustavo,Achong,2
2,Female ,Catherine,Abel,1
3,Female ,Kim,Abercrombie,0
4,Male ,Humberto,Acevedo,2
5,Female ,Frances,Adams,1
6,Female ,Margaret,Smith,0
7,Female ,Carla,Adams,0
8,Male ,Jay,Adams,1
9,Male ,Ronald,Adina,0
10,Male ,Robert,Ahlering,0
11,Male ,François,Ferrier,1
12,Female ,Kim,Akers,2
13,Female ,Anna,Albright,1
14,Male ,Milton,Albury,0
15,Male ,Paul,Alcorn,1
16,Male ,J. Phillip,Alexander,1
17,Female ,Michelle,Alexander,2
18,Male ,Sean,Jacobson,2
19,Female ,Phyllis,Allen,1
20,Male ,Marvin,Allen,0
21,Male ,Michael,Allen,2
22,Male ,Oscar,Alpuerto,1
23,Female ,Selena,Alvarado,0
24,Male ,Emilio,Alvaro,1
25,Female ,Ramona,Antrim,0
26,Female ,Sabria,Appelbaum,0
27,Female ,Hannah,Arakawa,0
28,Female ,Kyley,Arbelaez,1
29,Male ,Tom,Johnston,1
30,Male ,Thomas,Armstrong,0
31,Male ,John,Arthur,0
32,Male ,Chris,Ashton,1
33,Female ,Teresa,Atkinson,0
34,Male ,Stephen,Ayers,0
35,Male ,Cory,Booth,1
36,Male ,James,Bailey,0
37,Male ,Douglas,Baldwin,0
38,Female ,Jennifer,Bales,1
39,Male ,Wayne,Banack,2
40,Male ,Robert,Barker,0
41,Male ,Adam,Barr,1
42,Female ,Karel,Bates,1
43,Male ,John,Beaver,0
44,Male ,Shane,Belli,1
45,Male ,Stanley,Alan,0
46,Male ,Mason,Bendixen,0
47,Female ,Edna,Benson,0
48,Male ,Payton,Benson,0
49,Male ,Max,Benson,0
50,Male ,Robert,Bernacchi,1
51,Male ,Matthias,Berndt,1
52,Male ,John,Berry,0
53,Male ,Steven,Brown,0
54,Male ,Chris,Bidelman,0
55,Male ,Jimmy,Bischoff,1
56,Female ,Mae,Black,2
57,Male ,Donald,Blanton,0
58,Female ,Linda,Burnett,2
59,Male ,Michael,Blythe,0
60,Female ,Gabriel,Bockenkamp,0
61,Female ,Corinna,Bolender,0
62,Male ,Luis,Bonifaz,2
63,Male ,Randall,Boseman,2
64,Male ,David,Bradley,1
65,Male ,Cornelius,Brandon,0
66,Male ,Richard,Bready,0
67,Female ,Sara,Breer,0
68,Male ,Ted,Bremer,1
69,Male ,Alan,Brewer,1
70,Male ,Walter,Brian,1
71,Male ,Christopher,Bright,0
72,Male ,Willie,Brooks,2
73,Male ,Jo,Brown,1
74,Male ,Robert,Brown,0
75,Male ,Kevin,Browne,1
76,Female ,Mary,Browning,1
77,Male ,Dave,Browning,0
78,Male ,Dick,Brummer,0
79,Male ,Michael,Brundage,0
80,Female ,Shirley,Bruner,2
81,Female ,June,Brunner,0
82,Male ,Edward,Buensalido,0
83,Female ,Megan,Burke,2
84,Female ,Karren,Burkhardt,0
85,Female ,Deanna,Buskirk,1
86,Male ,Jared,Bustamante,0
87,Female ,Barbara,Calone,0
88,Female ,Lindsey,Camacho,0
89,Female ,DeeDee,Cameron,1
90,Male ,David,Campbell,2
91,Male ,Henry,Campen,2
92,Male ,Chris,Cannon,0
93,Male ,Joseph,Cantoni,0
94,Male ,Jun,Cao,0
95,Female ,Jane,Carmichael,1
96,Female ,Jovita,Carmody,0
97,Male ,Steve,Carnes,2
98,Male ,Rob,Caron,0
99,Male ,Andy,Carothers,0
100,Female ,Donna,Carreras,1
101,Female ,Rosmarie,Carroll,0
102,Female ,Pamela,Carlson,2
103,Male ,Raul,Casts,0
104,Female ,Elizabeth,Catalano,0
105,Male ,Matthew,Cavallari,0
106,Male ,Andrew,Cencini,0
107,Female ,Stacey,Cereghino,1
108,Male ,Baris,Cetinok,1
109,Male ,Forrest,Chandler,1
110,Male ,Lee,Chapla,2
111,Male ,Pei,Chow,0
112,Male ,Yao-Qiang,Cheng,1
113,Female ,Nicky,Chesnut,2
114,Male ,Mike,Choi,0
115,Female ,Ruth,Choin,0
116,Male ,Anthony,Chor,1
117,Male ,Charles,Christensen,2
118,Female ,Jill,Christie,0
119,Female ,Alice,Clark,1
120,Female ,Gina,Clark,2
121,Female ,Kristine,Cleary,2
122,Female ,Connie,Coffman,0
123,Female ,Jeanette,Cole,2
124,Male ,Takiko,Collins,0
125,Male ,John,Colon,0
126,Male ,Scott,Colvin,2
127,Male ,Aaron,Con,0
128,Female ,Stephanie,Conroy,0
129,Male ,Patrick,Cook,0
130,Male ,Scott,Cooper,0
131,Female ,Eva,Corets,1
132,Male ,Marlin,Coriell,0
133,Female ,Pamela,Cox,1
134,Male ,Jack,Creasey,2
135,Male ,Grant,Culbertson,0
136,Male ,Scott,Culp,0
137,Male ,Conor,Cunningham,0
138,Male ,Jose,Curry,0
139,Male ,Mike,Danseglio,0
140,Female ,Megan,Davis,0
141,Male ,Alvaro,De Matos Miranda Filho,1
142,Male ,Jose,De Oliveira,2
143,Male ,Kirk,DeGrasse,0
144,Female ,Aidan,Delaney,0
145,Male ,Stefan,Delmarco,2
146,Male ,Shawn,Demicell,2
147,Female ,Helen,Dennis,2
148,Male ,Prashanth,Desai,2
149,Female ,Bev,Desalvo,1
150,Female ,Brenda,Diaz,0
151,Male ,Andrew,Dixon,0
152,Male ,Blaine,Dockter,1
153,Female ,Cindy,Dodd,2
154,Male ,John,Donovan,1
155,Female ,Patricia,Doyle,0
156,Male ,Gerald,Drury,0
157,Male ,Gary,Drury,1
158,Male ,Bernard,Duerr,0
159,Female ,Adrian,Dumitrascu,0
160,Male ,Bart,Duncan,1
161,Male ,Maciej,Dusza,1
162,Female ,Shelley,Dyck,0
